0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,x,y
46,50,49,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,13.9
46,50,49,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,13.9
46,51,49,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,13.9
46,49,50,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,13.9
46,46,50,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,13.9
53,50,51,48,0,33,0,37,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
53,43,45,45,0,35,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
53,47,45,47,0,35,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
53,47,47,47,0,35,0,42,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
52,48,47,47,0,35,0,42,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
52,48,50,47,0,35,0,42,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
52,48,50,47,0,35,0,41,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
52,48,51,47,0,32,0,42,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
52,48,51,47,0,34,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
40,41,52,52,0,30,0,35,0,0,0,0,0,0,0,0,0,0,0,0,3.8,8.9
40,45,52,52,0,33,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3.8,8.9
36,40,52,52,0,33,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3.8,8.9
40,46,51,52,0,33,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3.8,8.9
40,48,51,52,0,33,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3.8,8.9
41,48,50,52,0,33,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3.8,8.9
